Homework_1,Homework_2,Homework_3,Homework_4,Homework_5,Homework_6,Homework_7,Homework_8,Homework_9,Homework_10,Homework_11,Homework_12,Homework_13,Homework_14,Quiz_2,Quiz_3,Quiz_4,Quiz_5,Quiz_6,Quiz_7,Quiz_8,Quiz_9,Quiz_10,Quiz_11,Exam_1,Exam_2,Exam_3,Final_Exam
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,9,10,10,10,57,58,53,63
14.89,14.67,15,14.83,15,15,15,11.03,15,13.5,15,14.5,,15,10,10,10,10,8,10,10,10,10,10,49,54,51,63
15,15,15,15,15,15,15,15,15,15,15,15,15,15,6,10,10,10,8,10,9,10,10,10,57,49,51,63
15,15,15,15,14.88,15,14.8,13.85,8.13,12.71,9.67,2,15,,10,7,9,10,10,10,10,9,10,10,55,48,51,63
15,15,15,15,15,15,15,15,15,15,15,15,4,12,10,10,10,8,10,10,10,10,10,10,57,44,51,63
15,15,15,14.13,13.88,13.88,13.5,14.25,13.93,14.13,14.24,14.17,15,15,10,7,8,10,5,10,10,10,10,7,59,25,49,63
15,15,15,15,15,15,15,7.83,,15,15,15,14.75,,10,10,10,10,10,10,10,9,,9,54,44,48,63
15,15,15,15,14.88,15,15,15,15,15,15,14.5,15,0,10,10,10,10,10,10,10,10,0,0,48,40,47,63
14.89,14,15,14,14.88,13.54,14.05,10.37,13.8,13.88,11.34,10.25,14.42,14.67,10,9,10,10,10,10,9,10,9,10,52,42,46,63
0.5,15,14,,14.5,,4.3,8.92,,12.67,12.42,7.5,13.67,14.67,8,7,9,8,6,7,8,8,6,9,53,33,45,63
13.89,14.33,13.75,14.89,15,15,10.1,13,14.83,13.75,15,14,15,7.67,6,10,10,10,10,9,10,10,9,10,53,51,43,63
15,15,15,15,15,15,15,15,15,15,15,14.5,15,15,10,10,10,10,10,10,10,8,5,10,59,45,41,63
14.5,15,14.75,14.33,13.75,14.83,14.1,15,14.8,14.33,15,15,14.5,2.67,9,9,9,10,10,10,10,7,9,10,44,48,40,63
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,4,8,10,8,10,10,10,10,42,39,39,63
15,14.11,14.9,14.78,14.63,14.67,15,5.02,14,,14.67,15,14.75,15,10,9,8,10,5,7,10,8,5,7,43,35,37,63
