Homework_1,Homework_2,Homework_3,Homework_4,Homework_5,Homework_6,Homework_7,Homework_8,Homework_9,Homework_10,Homework_11,Homework_12,Homework_13,Homework_14,Quiz_2,Quiz_3,Quiz_4,Quiz_5,Quiz_6,Quiz_7,Quiz_8,Quiz_9,Quiz_10,Quiz_11,Exam_1,Exam_2,Exam_3,Final_Exam
15,15,,15,15,15,15,14.83,15,,15,15,12.75,15,8,9,6,10,10,7,8,10,10,,47,47,46,54
15,15,15,15,15,15,14.5,13.5,15,15,14.33,15,15,15,10,9,8,10,9,10,10,8,9,8,52,45,46,54
15,15,15,15,13.75,13,13.5,13.55,14.58,13.33,11.67,11.75,7.75,0,6,7,7,10,8,9,10,8,10,6,44,52,43,54
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,5,10,10,10,10,9,10,10,37,40,40,54
14,14.67,15,14.63,14.63,14.83,14.1,12.42,15,13.75,15,12.17,13.75,12,0,7,9,10,9,7,10,5,10,10,42,46,39,54
14.28,14.86,14.42,13.39,14,14.54,14.3,13.25,8.67,12.5,7.53,11,12.42,,8,3,10,10,9,9,9,10,2,10,56,46,38,54
13.5,14.88,14,14.61,12.75,14.21,14.5,15,3.33,14.83,6,13.33,15,0,2,2,6,7,10,10,5,3,8,9,33,21,35,54
14.06,13.73,14,12.89,13.75,13.58,13.9,7.52,13.21,13.5,14,13.67,15,10,4,5,10,5,10,5,10,7,6,9,43,18,29,54
15,14.25,15,14.89,15,15,15,15,15,15,15,15,15,15,10,9,10,10,10,10,10,10,8,,47,53,27,54
15,15,15,15,15,15,15,15,15,15,15,14,14.75,4.33,10,10,10,8,10,10,10,10,9,10,54,44,27,54
15,15,15,15,13.21,15,15,15,15,14.08,12,15,15,15,10,10,7,7,10,9,8,6,9,10,46,35,27,54
15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,8,8,10,7,7,10,8,8,9,47,33,25,54
12.28,15,15,15,15,15,15,14,15,4.17,11.33,14.5,4,14,7,9,10,7,5,9,8,6,1,10,46,34,24,54
14.17,11.6,13.67,13.91,13.38,12.13,12.8,1.27,12.14,12,11.81,,,,6,8,9,7,10,7,7,0,0,0,36,24,15,54
15,15,14.9,14.89,13.63,14.83,11.3,13.92,14.63,15,15,15,13.42,15,6,9,10,10,9,10,7,5,4,8,41,33,14,54
15,15,15,15,14.88,15,15,15,15,15,15,,,,10,10,10,7,9,10,9,9,10,10,50,47,50,53
14.89,14.86,15,14.67,15,15,15,14,14.83,14.63,15,13.75,15,15,7,10,10,10,10,9,9,7,10,10,49,34,44,53
15,15,15,15,14.75,15,15,14.6,15,15,15,15,15,15,10,8,10,10,9,9,10,9,10,10,42,43,42,53
15,15,15,,14.88,15,3.2,14.75,14.83,13.63,13.67,13.67,13,15,4,10,9,10,10,10,6,5,10,9,48,53,39,53
15,15,15,15,15,15,15,15,15,15,15,15,15,15,5,6,7,7,9,7,10,10,10,10,24,39,39,53
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,9,10,10,10,10,10,10,10,52,46,35,53
,,15,15,7.63,15,15,7,12,13,13,,15,15,10,8,10,10,4,6,10,10,6,10,46,39,35,53
14.5,15,14,14.28,14,15,14.3,14,5.55,13,12.71,,14.25,14,6,9,4,6,10,10,8,10,9,10,51,47,34,53
15,14.75,15,14.83,15,15,,,,11.67,,,,,8,9,9,10,10,10,8,10,5,,48,41,34,53
15,14.5,15,14.67,14.63,15,15,13.03,14.83,13.63,9.15,14.67,15,15,7,10,10,10,5,8,7,4,6,8,34,20,30,53
15,15,15,15,15,15,15,14.35,8.88,15,15,15,15,3,10,5,10,10,9,10,10,10,10,8,46,36,27,53
15,15,15,15,15,15,15,15,15,15,14.71,14,14,,8,6,10,10,10,10,10,8,10,8,41,31,26,53
14.89,13.98,15,13.72,,15,14.4,13.3,14.17,12,13.83,14,15,15,10,7,8,8,9,3,8,7,2,10,21,25,24,53
,,10.65,12.49,,11.01,4.3,9.5,,,,,7.83,6.33,7,7,7,10,8,0,7,7,10,8,34,37,23,53
15,15,15,13,13.88,15,15,14,13.9,13.75,15,15,15,15,10,9,7,7,10,9,9,10,10,10,26,44,19,53
15,15,15,14.83,14.13,15,15,13.5,15,14.83,12.2,14.67,15,15,8,5,5,7,10,7,9,10,10,10,23,28,13,53
15,,15,14.72,14,13.59,12.3,13.75,6.97,,,,,,8,6,10,9,10,10,10,8,9,6,40,47,52,52
14.78,15,15,,15,15,15,15,15,14.54,6,,8,,6,8,10,10,10,9,10,8,9,10,45,52,46,52
13.72,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,,10,10,10,,,,10,51,38,40,52
15,15,15,14.78,15,15,,,9.01,3,12.18,2,5,,10,9,10,10,0,9,9,8,0,10,54,25,40,52
14.67,14.86,14.75,14.78,14,13.88,13.6,10.18,14.63,15,15,14,13.75,,10,9,10,10,10,10,8,10,9,10,49,47,38,52
15,15,15,15,15,15,15,15,15,15,4,,,,9,9,10,10,10,10,10,10,9,9,44,45,36,52
15,15,15,15,15,15,15,15,15,15,15,15,14,6,10,9,9,10,10,10,10,10,9,9,40,34,36,52
15,15,15,15,14.88,15,15,15,15,15,15,15,15,15,7,4,8,10,8,10,10,7,10,9,41,27,36,52
15,14.86,12.25,15,15,15,15,15,15,15,3,,,,10,6,10,10,10,10,8,6,9,9,53,45,35,52
15,15,15,15,14.88,15,9.5,15,15,14.83,12.43,15,15,15,10,10,10,10,10,10,10,10,10,10,43,32,35,52
15,15,15,15,14.63,15,15,13.25,14.83,11.75,12,15,7.25,15,10,10,10,10,9,9,,8,7,8,51,36,34,52
12.72,12.5,6.98,12.97,14.38,14,11.2,4.97,6,10.42,1,,15,14,9,8,3,8,9,8,5,7,8,4,35,29,31,52
14.89,15,15,15,15,15,15,15,15,15,15,15,14.5,,9,10,5,10,10,10,9,10,5,10,37,35,30,52
14.78,14.25,15,13.72,13.88,14.58,14.5,11.25,13.76,12.25,11.5,11,13,1,8,9,9,10,9,6,10,0,10,10,23,27,29,52
14.56,15,15,15,14.63,15,15,14.25,14.67,,13,14,15,13,7,8,8,10,6,6,10,9,9,7,34,40,28,52
15,15,15,15,13.75,15,15,7,9.96,11,13.67,13.58,,,6,6,8,10,9,10,10,7,6,10,52,30,28,52
14.5,15,15,15,14.63,15,12.9,13.75,15,10.75,12,12,7,10,10,5,10,9,8,7,9,9,9,8,41,22,28,52
15,14.86,13.42,12.19,,,4,11.58,13.74,15,,,8.67,0,7,6,10,10,6,9,9,5,6,8,40,39,23,52
15,15,15,15,15,15,15,15,14.75,15,15,15,15,15,10,10,5,10,10,10,10,9,7,10,42,37,16,52
15,15,15,14.14,15,13.75,15,15,14.13,15,2.17,15,15,3,10,6,10,10,10,8,9,8,6,10,52,44,51,51
15,15,15,15,15,15,14.5,15,15,15,14,15,15,,10,10,10,10,10,10,10,10,10,10,52,43,44,51
15,13.63,15,15,14.88,15,15,11.42,7.3,14.13,7.4,12.92,14,11,9,10,7,10,9,8,8,8,6,9,46,40,44,51
15,15,15,15,15,15,15,15,15,15,15,,15,0,10,9,9,9,9,7,9,10,6,9,41,41,43,51
15,15,15,15,15,15,15,15,15,15,15,15,15,,6,8,10,8,7,10,9,8,9,10,57,52,41,51
14.78,15,14.65,14,13.29,13.83,12.9,10.67,,14.17,15,,14,2,2,6,5,2,9,3,8,8,6,10,35,42,40,51
15,15,15,15,14.88,15,14.4,12.2,14.13,14.5,14,14,13.5,15,10,10,10,10,10,10,10,9,9,10,51,37,39,51
15,15,14.9,14.78,13.88,15,15,13,15,15,14.33,12,15,15,8,10,10,10,10,6,10,8,10,10,52,41,38,51
1,14.67,14.9,13.72,15,14.75,8,13,10.96,15,13.14,15,12.25,15,10,7,9,9,10,6,8,10,10,10,34,41,36,51
13.89,15,15,15,15,15,15,6.75,14.7,15,12.67,13.5,11,7.67,9,7,8,10,10,10,10,10,8,10,53,50,33,51
15,15,14.25,15,15,14,14.5,5.67,14.67,15,6,15,15,1,10,6,10,9,10,7,7,,5,5,41,24,32,51
14.56,14.67,15,15,15,15,15,15,15,14.83,15,15,15,15,7,7,10,7,6,8,10,10,,10,20,21,32,51
15,15,15,15,13.88,15,14.3,14.17,13.04,14.42,15,15,15,0,8,7,7,3,10,7,8,6,1,10,42,31,30,51
11.83,12.88,12.5,9.89,12.63,14,14.6,13.32,,12.67,8.13,14,13.5,,9,8,10,9,8,9,10,9,10,10,32,44,26,51
2,15,13.5,12.19,11.38,12.96,13.3,9.98,14.67,11.33,0.83,8,12,,6,8,6,10,10,7,10,10,7,,24,23,25,51
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,9,8,9,6,10,54,46,18,51
15,14.86,14.9,14.83,14.63,15,15,15,15,15,3,,,,6,9,7,8,10,10,9,9,9,10,33,27,54,50
15,15,15,15,15,15,15,15,15,15,15,15,15,15,9,9,9,9,10,10,10,9,9,10,45,36,44,50
13,15,15,15,14.75,15,14.5,8.75,14.8,13.67,14.38,12.67,13.75,15,10,10,9,10,10,9,8,3,10,10,41,37,39,50
15,15,15,15,15,15,15,15,15,15,6,2,4,,9,6,10,10,10,8,10,10,9,10,43,31,39,50
15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,8,10,10,49,50,38,50
14.56,15,15,15,15,15,15,15,15,15,14.2,15,15,15,10,6,10,9,8,10,10,10,8,10,43,30,38,50
12.17,8.71,,0,6.63,14.68,12.15,13.25,12.51,9.67,12.11,15,12.42,0,7,7,0,,10,10,10,8,10,10,34,46,35,50
15,15,15,15,14.88,15,14.4,14,15,15,10.86,15,15,15,10,10,10,9,10,6,10,10,10,9,42,45,35,50
15,15,15,15,15,15,15,15,15,15,0,15,,,10,10,10,10,10,10,10,10,10,,46,42,35,50
15,15,15,15,15,15,14,15,15,15,14.67,,,,5,4,10,10,8,10,10,8,6,10,46,43,34,50
15,14,14.4,14.5,12.75,15,13.8,15,14.47,13.88,14.05,10,13.25,10,10,10,10,10,10,7,8,10,6,10,32,30,31,50
14.89,12.67,14,13.5,13.75,14.54,14.6,14.67,14.38,14.58,15,15,15,15,9,10,10,10,9,9,10,10,6,10,27,29,30,50
15,15,15,15,14.88,15,15,15,15,15,15,15,15,15,10,8,10,9,10,7,10,8,10,,21,21,29,50
15,15,15,15,15,15,15,15,15,15,15,7,7.25,10,10,10,10,8,10,10,10,10,10,10,38,34,28,50
14.89,14.73,15,14.89,13.63,15,0,1,3,2,14.05,12.67,12.75,10,3,6,8,9,6,7,9,8,0,9,48,27,27,50
15,15,15,15,14.88,15,15,15,15,15,14,15,15,15,10,,7,10,,10,10,10,,10,48,35,24,50
14.39,15,15,14.83,14,14.88,15,13.3,14.58,14.38,5.8,14.5,15,14.67,7,6,3,10,9,5,6,3,10,6,33,35,24,50
15,15,15,15,13.75,15,15,15,15,15,15,15,15,15,10,10,10,10,3,9,10,7,10,10,40,42,18,50
13.11,13.86,15,15,14.75,14.88,15,15,15,15,15,15,15,15,0,9,4,5,5,10,7,10,2,10,32,14,10,50
,,,,14.88,14.38,0,,,9.75,,,11,0,10,7,10,10,7,8,,5,6,,30,29,9,50
15,15,15,14.61,14.75,15,15,15,15,14.88,14.86,15,15,15,9,9,10,10,5,10,10,9,10,10,39,43,45,49
15,14.19,15,,,15,12.9,13.63,15,15,15,15,,,8,4,5,10,7,8,8,8,10,10,40,37,45,49
15,15,15,14.89,15,15,15,12.83,14.55,15,14,15,14,,8,7,6,8,8,8,7,8,10,10,44,28,42,49
15,15,15,15,14.88,15,15,15,15,15,15,15,15,0,8,10,5,6,10,8,9,8,7,10,27,31,37,49
15,15,15,15,15,15,15,15,15,15,7,15,14,,6,10,8,9,10,10,9,10,10,7,50,43,36,49
14.78,15,15,15,15,15,14.5,15,14.54,14.83,13.19,14,14.5,,7,10,10,10,10,8,10,6,10,8,56,47,34,49
15,15,15,14.89,12.22,15,5.6,13.75,15,13,15,15,1,15,10,5,10,10,10,9,7,10,10,9,50,45,34,49
15,15,15,15,15,15,15,15,15,14.67,14,14.5,15,15,8,10,10,10,10,10,10,10,10,10,43,42,34,49
15,15,15,15,15,15,15,3.75,12,13.13,12.19,2,8,,3,10,10,10,9,10,8,8,10,,41,34,34,49
14,11.19,15,12,14.5,15,15,14.75,14.38,,15,13.92,14.75,1,7,4,10,10,7,8,6,4,6,8,40,14,33,49
14.39,14.21,15,13.47,13,13.58,11.3,11.33,12.89,10.75,5.83,12.42,12.08,15,7,7,8,10,6,0,10,8,0,8,40,36,31,49
13.72,14.52,14.8,14.56,14.13,15,15,15,14.25,15,15,15,15,15,7,7,7,9,10,5,9,10,5,10,12,18,31,49
15,15,15,15,15,15,15,15,15,15,14.86,15,15,15,10,9,8,10,6,10,9,9,10,10,44,51,25,49
15,15,15,,13,,0,8.8,,12.13,11,11.83,7.25,,10,10,10,10,10,10,,,5,10,47,29,23,49
15,15,15,15,14.38,15,14.5,15,14.54,14.67,15,13.42,15,15,8,3,8,8,9,8,6,6,3,8,41,25,23,49
15,15,15,9.86,9,13.18,4,4,8.33,10.5,3,6.67,2,10.33,10,9,7,10,10,9,10,8,9,10,27,30,19,49
15,15,15,15,15,15,15,15,15,15,15,15,15,3,10,5,9,10,3,5,10,7,0,10,20,21,17,49
14.78,14.73,15,14.89,15,15,15,15,15,12,15,14.5,15,15,10,10,10,10,10,5,8,5,9,10,49,43,49,48
14.5,15,15,,9.63,12.98,15,0.4,,11.75,,15,15,,10,9,10,10,10,10,9,6,8,10,39,43,47,48
14.39,15,15,15,15,15,15,14,15,15,15,15,15,15,6,7,3,6,10,7,7,10,6,10,43,38,45,48
15,15,15,14.67,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,51,51,43,48
15,15,15,15,14.88,15,14.5,14.58,11.93,13.25,12.8,14,14,15,9,10,10,7,10,10,10,8,9,10,51,31,39,48
15,15,15,,15,8,13.4,11.25,15,,11.33,3,9.75,0,5,5,10,10,6,7,10,10,7,10,54,54,37,48
14.28,15,15,15,15,15,15,15,15,15,14.86,15,15,15,8,10,9,9,9,10,10,10,10,10,39,41,37,48
15,15,15,15,15,15,15,15,15,15,15,15,15,15,9,10,9,10,10,9,10,5,7,10,35,27,33,48
14.89,14.38,15,14.36,14.75,14,14.8,15,14.68,12,14.67,11,14,15,10,10,8,9,10,7,7,7,6,10,48,34,30,48
15,15,15,15,14.88,15,15,15,15,15,15,15,15,15,9,5,10,10,10,10,10,7,6,10,41,29,28,48
,9.86,,15,14.88,15,15,15,15,14.5,15,15,15,15,1,0,2,2,8,9,9,9,9,10,13,35,27,48
15,15,15,14,13.5,14.88,15,15,14.42,15,15,15,15,15,5,7,10,10,10,8,10,10,8,10,32,48,26,48
15,15,15,15,15,15,15,15,15,15,15,15,15,13,10,10,10,10,10,10,10,9,8,10,42,39,21,48
15,15,15,15,13.75,14.88,14.5,3,10.64,8,7,6,,,10,10,8,7,10,,10,,7,10,45,26,21,48
14.17,0,15,13.89,14.88,14.42,15,15,13.83,10.75,3,12.25,9,8,5,9,8,10,10,7,10,9,10,9,24,27,20,48
15,15,15,15,14.5,15,15,15,11.07,15,15,15,15,15,7,7,10,7,5,10,8,8,7,10,40,19,18,48
15,15,15,14.44,15,15,14.5,13,12.33,14,,7,,0,6,8,10,10,10,10,10,10,8,3,47,28,12,48
14.14,14.33,15,14.5,14.29,14.5,14.35,14.17,14.46,13.92,12.88,13.67,15,15,10,8,10,10,10,10,9,9,8,7,45,42,48,47
15,15,15,15,15,15,15,15,15,15,15,14.5,,,10,7,10,10,10,10,10,10,10,10,50,44,43,47
15,15,15,15,15,15,11,15,15,15,15,15,15,15,10,10,10,9,10,6,8,6,7,10,44,39,40,47
12.89,14.38,13.5,14.39,14.54,15,14.5,13.5,15,15,15,14,15,15,10,10,7,10,10,8,10,10,10,10,36,33,40,47
15,15,15,14.89,14.88,15,15,14,15,15,15,13,15,15,10,10,6,10,10,6,10,9,9,8,41,46,37,47
15,15,15,15,15,15,15,15,15,15,15,15,15,1,9,10,10,7,10,8,10,10,10,10,56,54,36,47
14.78,15,15,15,15,15,14,14.5,15,15,15,15,15,15,7,10,8,7,6,8,9,9,9,9,33,21,34,47
15,15,15,15,15,15,15,15,14.75,15,14,14.5,15,15,8,7,7,8,10,10,7,9,9,10,52,47,32,47
15,15,15,15,15,15,15,15,15,15,15,15,2,,9,10,10,10,9,9,6,5,9,0,51,38,32,47
15,15,14,14.78,6,15,3.9,2.8,14.63,14,0,13.42,14.42,,10,5,,10,10,10,10,9,10,9,42,37,32,47
15,15,15,13.61,15,14.88,15,10.25,10.55,10.42,14.86,14.33,15,15,4,6,10,9,8,8,7,5,4,10,28,39,31,47
15,15,15,15,15,15,8,13,15,13,15,,,,10,10,10,10,9,8,8,10,10,9,43,39,29,47
15,15,15,15,15,15,15,15,15,,15,15,,,10,10,10,10,10,8,10,8,10,10,39,24,29,47
15,15,15,15,13,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,32,19,27,47
14,14.86,14,14.72,,13.88,13.3,11.47,12.64,14.54,13.14,13.67,15,14,9,4,4,10,5,9,7,6,8,8,33,32,26,47
15,8.5,15,14.89,15,15,15,14.75,14.25,15,12.67,14.67,,13,7,10,6,0,8,8,8,8,2,10,40,22,25,47
11.89,14.27,11.65,13.02,11.79,13.63,13.65,8.62,11.87,13.75,7.22,12.92,15,14,9,5,7,9,7,6,3,2,5,8,29,26,23,47
15,15,15,14.33,15,15,5.5,13.67,15,15,15,15,15,1,10,10,9,10,6,10,10,10,9,10,49,35,47,46
15,15,15,14.67,15,15,14.8,15,10.26,15,2,14.5,15,0,6,9,9,9,10,6,9,10,7,8,43,45,40,46
15,15,15,15,15,15,15,15,11.83,15,15,15,6.5,15,10,10,10,10,8,9,10,8,10,7,49,34,39,46
15,15,15,15,15,15,15,15,15,15,15,15,15,15,6,5,3,10,7,7,10,8,9,7,49,35,38,46
15,15,15,15,15,15,15,15,15,15,15,9,,,8,10,7,9,10,8,10,7,10,10,48,28,38,46
15,15,15,15,15,15,15,15,15,15,15,15,14,0,5,8,9,10,9,10,6,8,7,10,48,49,37,46
15,15,15,15,14.5,15,1.5,15,15,15,12.71,8,14.75,,10,9,10,10,10,8,10,10,10,10,36,30,36,46
15,14.67,15,14.89,14.88,14.17,15,11.3,15,14.21,12.84,14.17,11.42,10.67,5,5,9,10,10,10,9,10,8,10,50,48,34,46
15,15,15,15,15,15,15,14,14.38,14,,9,14,1,10,10,10,10,9,10,8,10,8,,38,41,34,46
3.11,15,15,1,2,,0,8.5,14.67,7,14.24,,12,,0,3,10,7,7,3,6,8,,8,31,30,33,46
15,14.52,13.4,14.17,14.5,14.5,13.7,11.88,12.11,12.83,14,,15,4,9,9,9,10,6,10,0,8,7,0,44,28,31,46
15,15,15,14.89,15,14.67,14.8,15,14.67,15,15,15,15,15,6,10,7,8,7,5,10,8,8,9,48,38,30,46
15,14,14,14.83,14.75,15,8,12,15,15,15,15,15,15,7,8,5,10,10,5,10,7,8,10,34,31,30,46
13,14,14.9,13.94,13.63,14.29,12.35,13,10.24,12.92,13,12.33,15,15,10,10,9,10,6,9,9,9,10,9,42,42,29,46
14.89,15,15,15,14.88,15,15,15,15,15,15,15,15,15,6,10,9,10,9,10,6,8,9,,40,40,29,46
14.39,,14,6.02,,9.21,15,12.2,15,7,14.33,12.67,15,13,5,8,7,9,10,8,9,8,7,10,41,26,28,46
15,15,15,15,15,15,15,13,14.63,14.83,14,14,15,1.67,9,10,8,10,8,9,10,10,10,10,41,44,27,46
15,13,15,,,,,,,,,,,,8,6,7,10,6,6,4,7,6,10,34,12,26,46
14,15,15,15,15,15,14.5,13.55,14.66,14.38,15,14,15,15,8,6,10,9,6,9,10,10,3,7,46,50,25,46
14.5,15,15,15,15,15,15,15,15,15,15,15,,15,8,6,7,8,9,10,8,8,10,,40,22,25,46
15,12.67,8.5,12,,9.82,2,,4,2,6.07,4,11.67,0,2,4,2,10,5,5,8,7,6,9,22,28,23,46
14.78,15,15,14.5,13.63,15,14.8,14.47,15,14.88,15,15,14,15,4,7,7,9,7,5,8,9,5,8,48,40,40,45
14.78,15,15,14.83,14.88,14.71,14.5,15,15,13.5,12,,15,0,10,10,9,10,10,10,9,8,8,9,48,22,40,45
13.67,11.79,12.5,9.78,6.5,13,10.3,6.67,13.8,12.75,15,13.33,14.5,,9,7,10,7,9,7,7,6,8,6,27,34,38,45
14.5,15,14,15,15,15,15,15,9.11,15,15,,,12,10,10,8,9,,10,10,,5,,40,39,35,45
15,15,15,15,14.88,15,15,14.75,15,15,15,15,15,14,7,9,9,10,10,6,10,4,8,10,45,27,35,45
15,14.61,15,14.78,14.63,14.71,13.5,13.22,14.56,14.75,12.9,13.5,14.75,12.67,9,4,10,7,10,8,10,7,10,9,42,33,31,45
15,15,15,14.89,13.88,15,14.5,13.92,13.34,14.75,11.81,14,14,2,8,10,9,9,6,10,10,10,4,10,36,28,31,45
15,13.11,14,12.89,12.63,13.75,12.65,14,11.91,14.33,15,15,15,15,7,9,8,8,10,8,9,9,7,10,39,36,29,45
15,15,15,11.89,10.75,15,7.8,14.15,14.13,11.42,8.93,14.5,9.5,12,10,4,9,8,4,9,7,8,5,6,36,29,28,45
15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,9,7,9,10,8,10,5,9,10,28,26,28,45
14.28,14.52,15,15,13.75,15,15,14.75,10.46,14.25,14.67,15,15,15,10,6,10,10,10,10,10,9,8,10,46,31,27,45
15,15,14,15,15,15,15,12,15,12.33,14,,14,15,10,10,7,9,6,9,9,7,4,7,46,28,24,45
13.39,14.04,3.33,14.72,7,15,15,12.75,15,14.63,14,15,15,15,6,5,7,8,6,9,10,10,8,10,27,42,22,45
15,14.61,15,15,14.75,14.88,14.5,15,15,15,15,15,9.5,,10,6,10,9,5,8,10,8,10,8,39,33,22,45
14.56,15,14.75,8.06,1.5,13.1,14.25,10.35,7.58,5.67,11.83,6,,5,2,10,10,5,7,7,7,10,6,7,49,36,19,45
15,15,15,14.89,14.75,15,9.8,8.5,5.7,0,9,14.67,11.75,,9,9,4,7,10,4,6,8,1,10,42,37,18,45
15,14.67,15,14.33,14.88,15,14.3,15,14.58,14.5,15,14.5,15,,10,10,7,10,10,10,10,10,1,10,35,39,15,45
15,15,15,10,14.75,15,7.5,14.75,9,13.79,,,15,,3,3,10,10,10,,,3,9,9,47,42,47,44
15,15,15,15,15,15,15,15,,2,15,,,15,10,10,10,10,10,10,10,10,10,9,48,45,42,44
15,15,15,15,15,14,1,15,14.67,12.42,15,15,15,2,6,8,5,10,9,8,8,9,10,9,43,29,41,44
15,15,15,15,15,15,12.5,11.75,15,6,12.71,13,14,1,2,10,8,9,10,10,10,10,8,10,41,55,40,44
15,15,14.9,14.19,14,15,14,15,15,14.71,2.67,4,15,0,10,10,10,10,8,8,10,10,10,10,38,43,38,44
15,15,15,15,15,15,15,12,15,14.67,11.86,15,15,12,10,10,10,9,10,10,9,10,10,9,38,34,38,44
14.89,15,15,14.3,14.42,14.83,14.3,13.67,14.56,14.63,14.67,14.25,15,15,10,7,10,10,10,7,9,3,1,8,41,35,37,44
15,13.09,14.5,5.7,13.88,11.46,13.1,2,14.28,14.63,14.67,,9,15,10,9,10,7,6,10,6,7,5,8,46,28,36,44
15,14.71,14.3,13,14.63,15,5.6,13.42,13.42,13.83,13.33,14.5,10,14,10,9,7,7,6,9,10,8,10,7,31,35,27,44
15,15,15,15,14.63,15,15,15,15,14,15,15,15,15,10,5,6,10,10,8,10,8,10,10,24,11,27,44
15,14.52,15,14.72,13.75,4.67,14.3,13.88,7.36,12.63,13.43,9,14,15,10,10,8,10,6,10,10,10,10,10,46,43,26,44
15,14.4,14.5,14.75,14.38,15,,1.33,14,12,1,,13,,10,6,0,10,10,5,8,8,5,10,44,26,26,44
14.44,14.73,14.9,13.28,14.17,5.04,,2.67,4,9.33,5,3.25,13.67,,6,9,7,8,9,7,4,5,7,10,41,22,26,44
14,15,14,7.67,15,15,15,2.75,9.8,13,11.05,11,15,0,10,0,1,5,8,10,7,8,4,10,34,37,25,44
14.06,14.5,14.9,14.61,14.75,14.75,14.6,14.83,14.5,14.75,14.86,14,15,15,5,7,6,8,6,8,6,6,7,8,29,27,22,44
0,11,6,8.28,7.63,14,0.5,14,11.67,7,3.6,13.5,,,4,7,7,8,9,9,9,9,,7,44,28,21,44
15,15,13.5,15,14.88,15,15,15,0,14.75,15,,0,,8,5,10,10,9,9,8,5,4,10,38,16,20,44
15,15,15,15,14.75,15,15,15,15,15,1,8,,,10,8,8,7,10,8,7,6,8,5,50,35,14,44
14.5,15,14.9,14.02,13.63,15,15,13.5,12.21,14.58,14.33,14.75,14.75,15,8,7,6,8,8,10,5,10,8,6,43,19,14,44
15,15,15,15,15,15,15,15,15,13,15,14.33,15,15,9,8,10,10,10,10,10,,10,6,51,45,47,43
15,15,15,15,14.88,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,7,10,10,9,41,34,45,43
14.39,14,15,14.36,14.75,15,15,14.8,14.68,15,14.6,14.25,15,15,10,10,10,10,10,9,10,10,10,10,48,28,40,43
15,15,15,15,14.75,15,15,15,15,15,15,15,15,15,8,10,9,10,10,10,10,10,10,10,34,32,39,43
15,15,15,15,15,15,15,13.75,15,0.33,15,15,15,0.67,5,10,10,10,10,9,10,6,7,10,46,40,38,43
,,1,14.11,,14.71,,13.17,14.93,14.63,14.18,14,15,15,,,,10,7,5,6,4,7,,33,41,35,43
15,15,12.75,14.78,14.88,15,11.1,12.42,14.75,12.08,2,12,13.25,10,9,2,10,8,5,9,7,6,5,6,39,15,35,43
15,15,14.5,14.83,9.38,14.75,5.8,11,14.83,12,12.86,14.5,8.25,12,7,9,8,10,10,8,10,8,7,10,53,36,32,43
10.14,6.71,15,14.78,12,9.38,5,10.1,5.17,6.67,5.83,3,12,1,10,6,10,10,10,1,8,8,,,40,29,32,43
14,13.86,13,13.89,,15,14.5,14.5,14,14.21,13.71,7,14.5,14,10,6,10,6,10,10,10,9,8,10,39,35,31,43
14.28,14,14,14,15,13.38,14,13.92,14.76,14.83,14,12.83,13.5,,9,10,6,10,7,8,10,8,10,4,43,45,29,43
15,15,15,14.69,12.38,14.75,14.3,10.42,14.75,14.29,12.87,13,14.75,,3,8,10,10,10,10,3,9,6,10,31,17,29,43
15,15,15,15,15,15,15,15,15,15,15,15,3,15,8,10,10,10,10,8,10,8,6,10,29,27,28,43
15,13.52,13.4,13.44,13.33,14.58,13.6,10.8,13.83,15,14.67,14,15,15,10,5,5,10,5,6,8,10,8,10,16,21,28,43
13.89,13,13.83,14.89,,14.75,14.55,,11.93,8.96,11.32,9.08,15,12,10,5,9,9,5,7,8,8,4,6,47,19,28,43
15,15,13,15,14.75,11.38,7.3,11.67,14,4.33,5,12.33,13.75,,9,10,9,10,7,8,9,9,7,9,41,31,26,43
14.17,13.86,13.4,14.28,14.63,14.88,14.3,13.25,11.73,13.83,14.17,14.75,14.5,1,10,3,8,10,8,7,10,10,5,6,34,34,25,43
15,14.4,12.9,14,13.75,14,13.1,9.18,13.41,13.83,14.27,14.17,14,13,,8,6,8,8,8,6,7,7,6,28,27,21,43
15,15,15,15,15,12,15,15,15,10.75,15,15,0,,8,7,10,3,7,10,8,10,6,6,35,23,7,43
15,15,15,15,15,15,15,15,15,15,13,14,15,15,10,5,10,7,10,8,10,10,5,10,51,37,44,42
15,15,15,15,12.63,15,14.5,14,13.98,15,14,14.33,8,14,5,9,9,10,9,4,7,7,6,10,35,35,41,42
15,15,15,15,15,15,15,14.75,15,15,15,15,15,15,8,9,10,10,10,9,9,10,10,10,53,40,39,42
15,15,15,13.91,14.88,15,15,10.62,13.87,13.21,14.67,14.25,15,15,7,9,6,10,10,9,10,8,9,10,36,34,37,42
